lambda,accuracy,f1,corr_SEX,corr_RACE
0.0,0.8205394479166592,0.87498118915655,0.0,0.0
0.1,0.8209474141352583,0.8752202140379056,0.019288954743013124,0.0
0.2,0.8212120379307581,0.8753665108688564,0.01924830274117396,0.017632523459610437
0.30000000000000004,0.8213553785301777,0.8754272630303866,0.02212852176563143,0.02060919912925651
0.4,0.8215759002847559,0.8755443706308327,0.02554374006716793,0.023529395743596505
0.5,0.8217082112706663,0.8756039174118218,0.028357770858541236,0.02443012038876276
0.6000000000000001,0.8218956533031141,0.8757088242559903,0.03078909222945787,0.025855909560821667
0.7000000000000001,0.821829495682533,0.8756435737380366,0.03217231101728664,0.026574148723342118
0.8,0.8218625723651976,0.8756543840350673,0.03384340325183079,0.028148101284266907
0.9,0.821862569933625,0.8756390846231833,0.0356360843194814,0.03103256521521618
1.0,0.8218625711494113,0.8756293508219537,0.03862176885476103,0.03299620278446164
